AML,Aeon Metals Ltd,Materials,,,,
AMN,Agrimin Ltd,Materials,,,,
AMO,Ambertech Ltd,Information Technology,,,,
AMP,AMP Ltd,Financials,,,,
AMS,Atomos Ltd,Consumer Discretionary,,,,
AMT,Allegra Orthopaedics Ltd,Health Care,,,,
AMX,Aerometrex Ltd,Industrials,,,,
ANA,Ansila Energy NL,Energy,,,,
ANG,Austin Engineering Ltd,Industrials,,,,
ANL,Amani Gold Ltd,Materials,,,,
ANN,Ansell Ltd,Health Care,,,,
ANO,Advance Nanotek Ltd,Materials,,,,
ANP,Antisense Therapeutics Ltd,Health Care,,,,
ANR,Anatara Lifesciences Ltd,Health Care,,,,
ANS,Austsino Resources Group Ltd,Materials,,,,
ANW,Aus Tin Mining Ltd,Materials,,,,
ANZ,Australia and New Zealand Banking Group Ltd,Financials,,,,
AO1,Assetowl Ltd,Information Technology,,,,
AOA,Ausmon Resources Ltd,Materials,,,,
AOF,Australian Unity Office Fund,Real Estate,,,,
AON,Apollo Minerals Ltd,Materials,,,,
AOP,Apollo Consolidated Ltd,Materials,,,,
AOU,Auroch Minerals Ltd,Materials,,,,
AOW,American Patriot Oil & Gas Ltd,Energy,,,,
APA,APA Group,Utilities,,,,
APC,Australian Potash Ltd,Materials,,,,
APD,Apn Property Group,Financials,,,,
APE,AP Eagers Ltd,Consumer Discretionary,,,,
APG,Austpac Resources NL,Materials,,,,
APH,Australian Primary Hemp Ltd,Health Care,,,,
API,Australian Pharmaceutical Industries Ltd,Health Care,,,,
APL,Antipodes Global Investment Company Ltd,,,,,
APT,Afterpay Ltd,Information Technology,,,,
APV,Appsvillage Australia Ltd,Information Technology,,,,
APW,Aims Property Securities Fund,Real Estate,,,,
APX,Appen Ltd,Information Technology,,,,
APZ,Aspen Group,Real Estate,,,,
AQC,Australian Pacific Coal Ltd,Materials,,,,
AQD,Ausquest Ltd,Materials,,,,
AQG,Alacer Gold Corp,Materials,,,,
AQI,Alicanto Minerals Ltd,Materials,,,,
AQR,Apn Convenience Retail REIT,Real Estate,,,,
AQS,AQUIS Entertainment Ltd,Consumer Discretionary,,,,
AQX,Alice QUEEN Ltd,Materials,,,,
AQZ,Alliance Aviation Services Ltd,Industrials,,,,
AR9,Archtis Ltd,Information Technology,,,,
ARA,Ariadne Australia Ltd,Industrials,,,,
ARB,ARB Corporation Ltd,Consumer Discretionary,,,,
ARC,Australian Rural Capital Ltd,Financials,,,,
ARD,Argent Minerals Ltd,Materials,,,,
ARE,Argonaut Resources NL,Materials,,,,
ARF,Arena REIT,Real Estate,,,,
ARG,Argo Investments Ltd,,,,,
ARL,Ardea Resources Ltd,Materials,,,,
ARM,Aurora Minerals Ltd,Materials,,,,
ARN,Aldoro Resources Ltd,Materials,,,,
ARO,Astro Resources NL,Materials,,,,
ARQ,ARQ Group Ltd,Information Technology,,,,
ARS,Alt Resources Ltd,Materials,,,,
ARU,Arafura Resources Ltd,Materials,,,,
ARV,Artemis Resources Ltd,Materials,,,,
AS1,Angel Seafood Holdings Ltd,Consumer Staples,,,,
ASB,Austal Ltd,Industrials,,,,
ASG,Autosports Group Ltd,Consumer Discretionary,,,,
ASH,Ashley Services Group Ltd,Industrials,,,,
ASIA,Betashares Asia Technology Tigers ETF,,,,,
ASN,Anson Resources Ltd,Materials,,,,
ASP,Aspermont Ltd,Communication Services,,,,
ASQ,Australian Silica Quartz Group Ltd,Materials,,,,
AST,Ausnet Services Ltd,Utilities,,,,
ASW,Advanced Share Registry Ltd,Financials,,,,
ASX,ASX Ltd,Financials,,,,
AT1,Atomo Diagnostics Ltd,,,,,
ATC,Altech Chemicals Ltd,Materials,,,,
ATEC,Betashares S&P/ASX Australian Technology ETF,,,,,
ATH,Alterity Therapeutics Ltd,Health Care,,,,
ATL,Apollo Tourism & Leisure Ltd,Consumer Discretionary,,,,
ATM,Aneka Tambang (Persero) TBK (PT),Materials,,,,
ATP,Atlas Pearls Ltd,Consumer Discretionary,,,,
ATR,Astron Corporation Ltd,Materials,,,,
ATS,Australis Oil & Gas Ltd,Energy,,,,
ATU,Atrum Coal Ltd,Materials,,,,
ATX,Amplia Therapeutics Ltd,Health Care,,,,
AU1,The Agency Group Australia Ltd,Real Estate,,,,
AU8,Aumake International Ltd,Consumer Discretionary,,,,
AUB,AUB Group Ltd,Financials,,,,
AUC,Ausgold Ltd,Materials,,,,
AUDS,Betashares Strong Australian Dollar Fund (Hedge Fund),,,,,
AUH,Austchina Holdings Ltd,Energy,,,,
AUI,Australian United Investment Company Ltd,,,,,
AUL,Austar Gold Ltd,Materials,,,,
AUMF,Ishares Edge MSCI Australia Multifactor ETF,,,,,
AUP,Aurora Property Buy-Write Income Trust,,,,,
AUQ,Alara Resources Ltd,Materials,,,,
AUR,Auris Minerals Ltd,Materials,,,,
AUST,Betashares Managed Risk Australian Share Fund,,,,,
AUT,Auteco Minerals Ltd,Materials,,,,
AUZ,Australian Mines Ltd,Materials,,,,
AV1,Adveritas Ltd,Information Technology,,,,
AVA,AVA Risk Group Ltd,Information Technology,,,,
AVC,Auctus Alternative Investments Ltd,Financials,,,,
AVE,Avecho Biotechnology Ltd,Health Care,,,,
AVG,Australian Vintage Ltd,Consumer Staples,,,,
AVH,Avita Medical Ltd,Health Care,,,,
AVJ,Avjennings Ltd,Real Estate,,,,
AVL,Australian Vanadium Ltd,Materials,,,,
AVN,Aventus Group,Real Estate,,,,
AVQ,Axiom Mining Ltd,Materials,,,,
AVW,Avira Resources Ltd,Materials,,,,
AVZ,AVZ Minerals Ltd,Materials,,,,
AWC,Alumina Ltd,Materials,,,,
AWN,Arowana International Ltd,Industrials,,,,
AWV,Anova Metals Ltd,Materials,,,,
AWY,Australian Whisky Holdings Ltd,Consumer Staples,,,,
AX1,Accent Group Ltd,Consumer Discretionary,,,,
AX8,Accelerate Resources Ltd,Materials,,,,
AXE,Archer Materials Ltd,Materials,,,,
AXI,Axiom Properties Ltd,Real Estate,,,,
AXT,Argo Exploration Ltd,Materials,,,,
AYF,Australian Enhanced Income Fund,,,,,
AYI,A1 Investments & Resources Ltd,Financials,,,,
AYM,Australia United Mining Ltd,Materials,,,,
AYR,Alloy Resources Ltd,Materials,,,,
AYS,Amaysim Australia Ltd,,,,,
AZI,Alta ZINC Ltd,Materials,,,,
AZJ,Aurizon Holdings Ltd,Industrials,,,,
AZS,AZURE Minerals Ltd,Materials,,,,
AZT,AZURE Health Tech,Information Technology,,,,
AZV,AZURE Healthcare Ltd,Health Care,,,,
AZY,Antipa Minerals Ltd,Materials,,,,
B2Y,Bounty Mining Ltd,Materials,,,,
BAF,Blue Sky Alternatives Access Fund Ltd,,,,,
BAP,Bapcor Ltd,Consumer Discretionary,,,,
BAR,Barra Resources Ltd,Materials,,,,
BAS,Bass Oil Ltd,Energy,,,,
BAT,Battery Minerals Ltd,Materials,,,,
BBC,BNK Banking Corporation Ltd,Financials,,,,
BBL,Brisbane Broncos Ltd,Communication Services,,,,
BBN,Baby Bunting Group Ltd,Consumer Discretionary,,,,
BBOZ,Betashares Australian Equities Strongbearhedgefund,,,,,
BBUS,Betashares US EQ Strong Bear Hdge FND-CRNCY Hdged,,,,,
BBX,BBX Minerals Ltd,Materials,,,,
BC8,Black Cat Syndicate Ltd,Materials,,,,
BCB,Bowen Coking Coal Ltd,Materials,,,,
BCC,Beam Communications Holdings Ltd,Information Technology,,,,
BCI,BCI Minerals Ltd,Materials,,,,
BCK,Brockman Mining Ltd,Materials,,,,
BCL,Bunji Corporation Ltd,Energy,,,,
BCN,Beacon Minerals Ltd,Materials,,,,
BCT,Bluechiip Ltd,Information Technology,,,,
BD1,BARD1 Life Sciences Ltd,Health Care,,,,
BDA,Bod Australia Ltd,Consumer Discretionary,,,,
BDC,Bardoc Gold Ltd,Materials,,,,
BDG,Black Dragon Gold Corp,Materials,,,,
BDI,Blina Minerals NL,Materials,,,,
BEAR,Betashares Australian Equities Bear Hedge Fund,,,,,
BEE,Broo Ltd,Consumer Staples,,,,
BEL,Bentley Capital Ltd,,,,,
BEM,Blackearth Minerals NL,Materials,,,,
BEN,Bendigo and Adelaide Bank Ltd,Financials,,,,
BET,Betmakers Technology Group Ltd,Consumer Discretionary,,,,
BFC,Beston Global Food Company Ltd,Consumer Staples,,,,
BFG,Bell Financial Group Ltd,Financials,,,,
BGA,Bega Cheese Ltd,Consumer Staples,,,,
BGL,Bellevue Gold Ltd,Materials,,,,
BGP,Briscoe Group Australasia Ltd,Consumer Discretionary,,,,
BGT,Bio-Gene Technology Ltd,Materials,,,,
BHD,Benjamin Hornigold Ltd,,,,,
BHL,Boyuan Holdings Ltd,Real Estate,,,,
BHP,BHP Group Ltd,Materials,,,,
BID,Bidenergy Ltd,Information Technology,,,,
BILL,Ishares Core Cash ETF,,,,,
BIN,Bingo Industries Ltd,Industrials,,,,
BIQ,"Buildingiq, Inc",Information Technology,,,,
BIR,BIR Financial Ltd,Financials,,,,
BIS,Bisalloy Steel Group Ltd,Materials,,,,
BIT,Biotron Ltd,Health Care,,,,
BKI,BKI Investment Company Ltd,,,,,
BKL,Blackmores Ltd,Consumer Staples,,,,
BKT,Black Rock Mining Ltd,Materials,,,,
BKW,Brickworks Ltd,Materials,,,,
BKY,Berkeley Energia Ltd,Energy,,,,
BLA,Blue Sky Alternative Investments Ltd,Financials,,,,
BLD,Boral Ltd,Materials,,,,
BLG,Bluglass Ltd,Information Technology,,,,
BLK,Blackham Resources Ltd,Materials,,,,
BLU,Blue Energy Ltd,Energy,,,,
BLV,Blossomvale Holdings Ltd,Energy,,,,
BLX,Beacon Lighting Group Ltd,Consumer Discretionary,,,,
BLY,Boart Longyear Ltd,Materials,,,,
BLZ,BLAZE International Ltd,Energy,,,,
BMG,BMG Resources Ltd,Materials,,,,
BMH,Baumart Holdings Ltd,Industrials,,,,
BMN,Bannerman Resources Ltd,Energy,,,,
BNDS,Betashares Legg Mason Australian Bond Fund (Managed Fund),,,,,
BNKS,Betashares Global Banks ETF - Currency Hedged,,,,,
BNL,Big Star Energy Ltd,Energy,,,,
BNO,Bionomics Ltd,Health Care,,,,
BNR,Bulletin Resources Ltd,Materials,,,,
BOA,Boadicea Resources Ltd,Materials,,,,
BOC,Bougainville Copper Ltd,Materials,,,,
BOE,Boss Resources Ltd,Materials,,,,
BOL,Boom Logistics Ltd,Industrials,,,,
BOND,SPDR S&P/ASX Australian Bond Fund,,,,,
BOQ,Bank of Queensland Ltd,Financials,,,,
BOT,Botanix Pharmaceuticals Ltd,Health Care,,,,
BPH,BPH Energy Ltd,Health Care,,,,
BPL,Broken Hill Prospecting Ltd,Materials,,,,
BPP,Babylon Pump & Power Ltd,Industrials,,,,
BPT,Beach Energy Ltd,Energy,,,,
BRB,Breaker Resources NL,Materials,,,,
BRG,Breville Group Ltd,Consumer Discretionary,,,,
BRI,Big River Industries Ltd,Materials,,,,
BRK,Brookside Energy Ltd,Energy,,,,
BRL,Bathurst Resources Ltd,Materials,,,,
BRN,Brainchip Holdings Ltd,Information Technology,,,,
BRU,Buru Energy Ltd,Energy,,,,
BRV,Big River Gold Ltd,Materials,,,,
BSA,BSA Ltd,Industrials,,,,
BSE,Base Resources Ltd,Materials,,,,
BSL,Bluescope Steel Ltd,Materials,,,,
BSM,Bass Metals Ltd,Materials,,,,
BSP,Black Star Petroleum Ltd,Energy,,,,
BSR,Bassari Resources Ltd,Materials,,,,
BSX,Blackstone Minerals Ltd,Materials,,,,
BTC,BTC Health Ltd,,,,,
BTH,Bigtincan Holdings Ltd,Information Technology,,,,
BTI,Bailador Technology Investments Ltd,Financials,,,,
BUB,Bubs Australia Ltd,Consumer Staples,,,,
BUD,Buddy Technologies Ltd,Information Technology,,,,
BUG,Buderim Group Ltd,Consumer Staples,,,,
BUX,Buxton Resources Ltd,Materials,,,,
BUY,Bounty Oil & Gas NL,Energy,,,,
BVS,Bravura Solutions Ltd,Information Technology,,,,
BWF,Blackwall Ltd,Financials,,,,
BWP,BWP Trust,Real Estate,,,,
BWR,Blackwall Property Trust,Real Estate,,,,
BWX,BWX Ltd,Consumer Staples,,,,
BXB,Brambles Ltd,Industrials,,,,
BXN,Bioxyne Ltd,Consumer Staples,,,,
BYE,Byron Energy Ltd,Energy,,,,
BYH,Bryah Resources Ltd,Materials,,,,
BYI,Beyond International Ltd,Communication Services,,,,
C6C,Copper Mountain Mining Corporation,Materials,,,,
CA8,Coassets Ltd,Financials,,,,
CAA,Capral Ltd,Materials,,,,
CAD,Caeneus Minerals Ltd,Materials,,,,
CAE,Cannindah Resources Ltd,Materials,,,,
CAF,Centrepoint Alliance Ltd,Financials,,,,
CAG,Cape Range Ltd,Information Technology,,,,
CAI,Calidus Resources Ltd,Materials,,,,
CAJ,Capitol Health Ltd,Health Care,,,,
CAM,Clime Capital Ltd,,,,,
CAN,Cann Group Ltd,Health Care,,,,
CAP,Carpentaria Resources Ltd,Materials,,,,
CAQ,CAQ Holdings Ltd,Real Estate,,,,
CAR,Carsales.com Ltd,Communication Services,,,,
CAT,Catapult Group International Ltd,Information Technology,,,,
CAU,Cronos Australia Ltd,Health Care,,,,
CAV,Carnavale Resources Ltd,Materials,,,,
CAY,Canyon Resources Ltd,Materials,,,,
CAZ,Cazaly Resources Ltd,Materials,,,,
CBA,Commonwealth Bank of Australia,Financials,,,,
CBE,Cobre Ltd,Materials,,,,
CBR,Carbon Revolution Ltd,Consumer Discretionary,,,,
CBY,Canterbury Resources Ltd,Materials,,,,
CCA,Change Financial Ltd,Information Technology,,,,
CCE,Carnegie Clean Energy Ltd,Utilities,,,,
CCG,Commschoice Group Ltd,Information Technology,,,,
CCJ,County International Ltd,Energy,,,,
CCL,Coca-Cola Amatil Ltd,Consumer Staples,,,,
CCP,Credit Corp Group Ltd,Financials,,,,
CCV,Cash Converters International,Financials,,,,
CCX,City Chic Collective Ltd,Consumer Discretionary,,,,
CCZ,Castillo Copper Ltd,Materials,,,,
CD1,Cordish Dixon Private Equity Fund I,,,,,
CD2,Cordish Dixon Private Equity Fund Ii,,,,,
CD3,Cordish Dixon Private Equity Fund Iii,,,,,
CDA,Codan Ltd,Information Technology,,,,
CDD,Cardno Ltd,Industrials,,,,
CDH,Chongherr Investments Ltd,Materials,,,,
CDM,Cadence Capital Ltd,,,,,
CDP,Carindale Property Trust,Real Estate,,,,
CDT,Castle Minerals Ltd,Materials,,,,
CDV,Cardinal Resources Ltd,Materials,,,,
CDX,Cardiex Ltd,Health Care,,,,
CDY,Cellmid Ltd,Health Care,,,,
CE1,Calima Energy Ltd,Energy,,,,
CEL,Challenger Exploration Ltd,Energy,,,,
CEN,Contact Energy Ltd,Utilities,,,,
CETF,Vaneck Vectors Ftse China A50 ETF,,,,,
CFE,Cape Lambert Resources Ltd,Materials,,,,
CFO,Cfoam Ltd,Industrials,,,,
CG1,Carbonxt Group Ltd,Materials,,,,
CGA,Contango Asset Management Ltd,Financials,,,,
CGB,Cann Global Ltd,Health Care,,,,
CGC,Costa Group Holdings Ltd,Consumer Staples,,,,
CGF,Challenger Ltd,Financials,,,,
CGL,The Citadel Group Ltd,Information Technology,,,,
CGM,Cougar Metals NL,Materials,,,,
CGN,Crater Gold Mining Ltd,Materials,,,,
CGO,CPT Global Ltd,Information Technology,,,,
CGR,CML Group Ltd,Financials,,,,
CGS,Cogstate Ltd,Health Care,,,,
CHC,Charter Hall Group,Real Estate,,,,
CHK,Cohiba Minerals Ltd,Materials,,,,
CHN,Chalice Gold Mines Ltd,Materials,,,,
CHZ,Chesser Resources Ltd,Materials,,,,
CI1,Credit Intelligence Ltd,Industrials,,,,
CIA,Champion Iron Ltd,Materials,,,,
CIE,Contango Income Generator Ltd,,,,,
CII,Ci Resources Ltd,Materials,,,,
CIM,Cimic Group Ltd,Industrials,,,,
CIN,Carlton Investments Ltd,,,,,
CINPA,Carlton Investments Ltd,Financials,,,,
CIO,Connected Io Ltd,Information Technology,,,,
CIP,Centuria Industrial REIT,Real Estate,,,,
CIW,Clime Investment Management Ltd,Financials,,,,
CKA,Cokal Ltd,Materials,,,,
CKF,Collins Foods Ltd,Consumer Discretionary,,,,
CL1,Class Ltd,Information Technology,,,,
CL8,Collaborate Corporation Ltd,Consumer Discretionary,,,,
CLA,Celsius Resources Ltd,Materials,,,,
CLB,Candy Club Holdings Ltd,Consumer Staples,,,,
CLF,Concentrated Leaders Fund Ltd,,,,,
CLH,Collection House Ltd,Financials,,,,
CLI,Croplogic Ltd,Industrials,,,,
CLQ,Clean TEQ Holdings Ltd,Industrials,,,,
CLT,Cellnet Group Ltd,Information Technology,,,,
CLV,Clover Corporation Ltd,Materials,,,,
CLW,Charter Hall Long Wale REIT,Real Estate,,,,
CLX,Cti Logistics Ltd,Industrials,,,,
CLZ,Classic Minerals Ltd,Materials,,,,
CM1,Coolgardie Minerals Ltd,Materials,,,,
CM8,Crowd Media Holdings Ltd,Communication Services,,,,
CMC,China Magnesium Corporation Ltd,Materials,,,,
CMD,Cassius Mining Ltd,Materials,,,,
CML,Chase Mining Corporation Ltd,Materials,,,,
CMM,Capricorn Metals Ltd,Materials,,,,
CMP,Compumedics Ltd,Health Care,,,,
CMW,Cromwell Property Group,Real Estate,,,,
CNB,Carnaby Resources Ltd,Materials,,,,
CNEW,Vaneck Vectors China New Economy ETF,,,,,
CNI,Centuria Capital Group,Financials,,,,
CNJ,Conico Ltd,Materials,,,,
CNL,Celamin Holdings Ltd,Materials,,,,
CNU,Chorus Ltd,,,,,
CNW,Cirrus Networks Holdings Ltd,Information Technology,,,,
COB,Cobalt Blue Holdings Ltd,Materials,,,,
COE,Cooper Energy Ltd,Energy,,,,
COF,Centuria Office REIT,Real Estate,,,,
COG,Consolidated Operations Group Ltd,Financials,,,,
COH,Cochlear Ltd,Health Care,,,,
COI,Comet Ridge Ltd,Energy,,,,
COL,Coles Group Ltd,Consumer Staples,,,,
COO,Corum Group Ltd,Information Technology,,,,
CORE,ETFs Global Core Infrastructure ETF,,,,,
COS,Cosol Ltd,Information Technology,,,,
COY,Coppermoly Ltd,Materials,,,,
CP1,Cannpal Animal Therapeutics Ltd,Health Care,,,,
CPH,Creso Pharma Ltd,Health Care,,,,
CPT,Cipherpoint Ltd,Information Technology,,,,
CPU,Computershare Ltd,Information Technology,,,,
CPV,Clearvue Technologies Ltd,Industrials,,,,
CQE,Charter Hall Social Infrastructure REIT,Real Estate,,,,
CQR,Charter Hall Retail REIT,Real Estate,,,,
CR1,Constellation Resources Ltd,Materials,,,,
CRB,Carbine Resources Ltd,Materials,,,,
CRED,Betashares Australian Investment Grade Corporate Bond ETF,,,,,
CRL,Comet Resources Ltd,Materials,,,,
CRM,Carbon Minerals Ltd,Energy,,,,
CRN,Coronado Global Resources Inc,Materials,,,,
CRO,Cirralto Ltd,Information Technology,,,,
CRS,Caprice Resources Ltd,Materials,,,,
CSD,Consolidated Tin Mines Ltd,Materials,,,,
CSE,Copper Strike Ltd,Materials,,,,
CSL,CSL Ltd,Health Care,,,,
CSR,CSR Ltd,Materials,,,,
CSS,Clean Seas Seafood Ltd,Consumer Staples,,,,
CST,Castile Resources Ltd,Materials,,,,
CT1,CCP Technologies Ltd,Information Technology,,,,
CTD,Corporate Travel Management Ltd,Consumer Discretionary,,,,
CTE,Cryosite Ltd,Health Care,,,,
CTM,Centaurus Metals Ltd,Materials,,,,
CTO,Citigold Corporation Ltd,Materials,,,,
CTP,Central Petroleum Ltd,Energy,,,,
CTX,Caltex Australia Ltd,Energy,,,,
CUE,CUE Energy Resources Ltd,Energy,,,,
CUL,Cullen Resources Ltd,Materials,,,,
CUP,Countplus Ltd,Industrials,,,,
CURE,ETFs S&P Biotech ETF,,,,,
CUV,Clinuvel Pharmaceuticals Ltd,Health Care,,,,
CUX,Crossland Strategic Metals Ltd,Materials,,,,
CV1,CV Check Ltd,Information Technology,,,,
CVC,CVC Ltd,Financials,,,,
CVF,Contrarian Value Fund Ltd,,,,,
CVL,Civmec Ltd,Industrials,,,,
CVN,Carnarvon Petroleum Ltd,Energy,,,,
CVS,Cervantes Corporation Ltd,Materials,,,,
CVV,Caravel Minerals Ltd,Materials,,,,
CVW,Clearview Wealth Ltd,Financials,,,,
CWL,Chant West Holdings Ltd,Information Technology,,,,
CWN,Crown Resorts Ltd,Consumer Discretionary,,,,
CWP,Cedar Woods Properties Ltd,Real Estate,,,,
CWX,Carawine Resources Ltd,Materials,,,,
CWY,Cleanaway Waste Management Ltd,Industrials,,,,
CWZ,Cashwerkz Ltd,Financials,,,,
CXL,CALIX Ltd,Materials,,,,
CXM,Centrex Metals Ltd,Materials,,,,
CXO,Core Lithium Ltd,Materials,,,,
CXU,Cauldron Energy Ltd,Energy,,,,
CXX,Cradle Resources Ltd,Materials,,,,
CXZ,Connexion Telematics Ltd,Information Technology,,,,
CY5,CYGNUS Gold Ltd,Materials,,,,
